ticker,modal_timing,agreement_share,n_events,n_bmo,n_amc,recent_timing,switched,confidence
GD,BMO,1.0,40,40,0,BMO,False,high
GDDY,AMC,0.957,46,2,44,AMC,False,high
GE,BMO,1.0,44,44,0,BMO,False,high
GEHC,BMO,0.933,15,14,1,BMO,False,high
GEN,AMC,0.956,45,2,43,AMC,False,high
GEV,BMO,1.0,8,8,0,BMO,False,high
GILD,AMC,0.977,43,1,42,AMC,False,high
GIS,BMO,1.0,43,43,0,BMO,False,high
GL,AMC,1.0,42,0,42,AMC,False,high
GLW,BMO,1.0,43,43,0,BMO,False,high
GM,BMO,0.946,37,35,2,BMO,False,high
GNRC,BMO,1.0,43,43,0,BMO,False,high
GOOG,AMC,1.0,43,0,43,AMC,False,high
GOOGL,AMC,1.0,43,0,43,AMC,False,high
GPC,BMO,0.973,37,36,1,BMO,False,high
GPN,BMO,0.955,44,42,2,BMO,False,high
GRMN,BMO,0.946,37,35,2,BMO,False,high
GS,BMO,0.956,45,43,2,BMO,False,high
GWW,BMO,0.976,41,40,1,BMO,False,high
HAL,AMC,0.698,43,13,30,BMO,True,low
HAS,BMO,1.0,44,44,0,BMO,False,high
HBAN,BMO,0.977,43,42,1,BMO,False,high
HCA,BMO,0.932,44,41,3,BMO,False,high
HD,BMO,1.0,42,42,0,BMO,False,high
HIG,AMC,0.935,46,3,43,AMC,False,high
HII,BMO,1.0,42,42,0,BMO,False,high
HLT,BMO,1.0,45,45,0,BMO,False,high
HON,BMO,0.904,52,47,5,BMO,False,high
HOOD,AMC,1.0,32,0,32,AMC,False,high
HPE,AMC,0.981,52,1,51,AMC,False,high
HPQ,AMC,1.0,45,0,45,AMC,False,high
HRL,BMO,0.727,44,32,12,AMC,True,medium
HSIC,BMO,0.977,44,43,1,BMO,False,high
HST,AMC,0.857,42,6,36,AMC,False,medium
HSY,BMO,1.0,42,42,0,BMO,False,high
HUBB,BMO,0.976,42,41,1,BMO,False,high
HUM,BMO,0.977,44,43,1,BMO,False,high
HWM,BMO,0.796,49,39,10,BMO,False,medium
IBKR,AMC,0.977,44,1,43,AMC,False,high
IBM,AMC,0.978,46,1,45,AMC,False,high
ICE,BMO,0.977,43,42,1,BMO,False,high
IDXX,BMO,0.977,43,42,1,BMO,False,high
IEX,BMO,0.906,32,29,3,BMO,False,high
IFF,AMC,0.933,45,3,42,AMC,False,high
INCY,BMO,0.976,41,40,1,BMO,False,high
INTC,AMC,1.0,43,0,43,AMC,False,high
INTU,AMC,0.961,51,2,49,AMC,False,high
INVH,AMC,0.846,39,6,33,AMC,False,medium
IP,BMO,1.0,42,42,0,BMO,False,high
IQV,BMO,1.0,42,42,0,BMO,False,high
IR,AMC,0.838,37,6,31,AMC,False,medium
IRM,BMO,0.976,42,41,1,BMO,False,high
ISRG,AMC,0.811,53,10,43,AMC,False,medium
IT,BMO,0.977,43,42,1,BMO,False,high
ITW,BMO,1.0,32,32,0,BMO,False,high
IVZ,BMO,1.0,42,42,0,BMO,False,high
J,BMO,0.911,45,41,4,BMO,False,high
JBHT,AMC,0.933,45,3,42,AMC,False,high
JBL,BMO,0.69,42,29,13,BMO,False,low
JCI,BMO,0.977,44,43,1,BMO,False,high
JKHY,AMC,1.0,53,0,53,AMC,False,high
JNJ,BMO,0.978,45,44,1,BMO,False,high
JPM,BMO,1.0,42,42,0,BMO,False,high
KDP,BMO,0.95,40,38,2,BMO,False,high
KEY,BMO,0.976,41,40,1,BMO,False,high
KEYS,AMC,1.0,42,0,42,AMC,False,high
KHC,BMO,0.711,45,32,13,BMO,False,medium
KIM,BMO,0.805,41,33,8,BMO,False,medium
KKR,BMO,0.955,44,42,2,BMO,False,high
KLAC,AMC,0.977,43,1,42,AMC,False,high
KMB,BMO,1.0,42,42,0,BMO,False,high
KMI,AMC,1.0,42,0,42,AMC,False,high
KO,BMO,1.0,42,42,0,BMO,False,high
KR,BMO,1.0,43,43,0,BMO,False,high
KVUE,BMO,0.923,13,12,1,BMO,False,high
L,BMO,0.947,38,36,2,BMO,False,high
LDOS,BMO,0.881,42,37,5,AMC,True,medium
LEN,AMC,0.686,35,11,24,AMC,False,low
LH,BMO,1.0,42,42,0,BMO,False,high
LHX,BMO,0.696,46,32,14,BMO,False,low
LII,BMO,1.0,42,42,0,BMO,False,high
LIN,BMO,0.867,30,26,4,BMO,False,medium
LITE,BMO,0.66,47,31,16,AMC,True,low
LLY,BMO,0.911,45,41,4,BMO,False,high
